id,kind,so,denom,season
649966,B,45,330,2025
650333,B,21,675,2025
650402,B,101,628,2025
650489,B,111,454,2025
650490,B,92,651,2025
650559,B,18,50,2025
650859,B,104,541,2025
650968,B,22,168,2025
655316,B,32,135,2025
656305,B,126,535,2025
656413,B,15,55,2025
656484,B,19,86,2025
656537,B,48,149,2025
656555,B,91,328,2025
656577,B,37,100,2025
656582,B,20,80,2025
656716,B,111,511,2025
656775,B,120,498,2025
656811,B,109,544,2025
656941,B,197,724,2025
656976,B,92,288,2025
657041,B,44,142,2025
657136,B,42,188,2025
657656,B,119,488,2025
657757,B,107,545,2025
660162,B,75,289,2025
660271,B,187,727,2025
660644,B,21,95,2025
660670,B,102,412,2025
660688,B,26,267,2025
660821,B,110,497,2025
660844,B,24,111,2025
661388,B,120,659,2025
662139,B,77,271,2025
663330,B,32,150,2025
663368,B,47,171,2025
663457,B,119,583,2025
663538,B,49,649,2025
663584,B,22,78,2025
663586,B,128,447,2025
663604,B,36,148,2025
663609,B,10,41,2025
663616,B,122,567,2025
663624,B,98,357,2025
663647,B,111,570,2025
663656,B,88,597,2025
663697,B,106,567,2025
663698,B,93,332,2025
663728,B,188,705,2025
663743,B,47,242,2025
663757,B,137,581,2025
663837,B,24,100,2025
663853,B,81,341,2025
663886,B,116,342,2025
663897,B,9,34,2025
663967,B,2,16,2025
663968,B,64,428,2025
663993,B,159,609,2025
664023,B,151,663,2025
664034,B,83,490,2025
664040,B,149,553,2025
664056,B,136,501,2025
664059,B,37,182,2025
664068,B,11,29,2025
664238,B,82,243,2025
664702,B,50,299,2025
664728,B,74,409,2025
664761,B,82,504,2025
664770,B,60,438,2025
664774,B,58,242,2025
664954,B,3,9,2025
664983,B,40,222,2025
665019,B,93,386,2025
665052,B,25,86,2025
665161,B,93,543,2025
665487,B,129,691,2025
665489,B,94,680,2025
665561,B,17,118,2025
665742,B,137,715,2025
665750,B,50,180,2025
665804,B,22,103,2025
665828,B,25,122,2025
665833,B,174,544,2025
665861,B,9,34,2025
665862,B,148,531,2025
665877,B,10,70,2025
665923,B,8,23,2025
665926,B,66,369,2025
665953,B,22,73,2025
665966,B,111,446,2025
666018,B,107,422,2025
666023,B,65,347,2025
666126,B,20,99,2025
666139,B,109,435,2025
666152,B,47,194,2025
666160,B,110,461,2025
666163,B,23,128,2025
666176,B,151,573,2025
666181,B,67,253,2025
666182,B,91,628,2025
666185,B,54,241,2025
666211,B,41,135,2025
666310,B,99,414,2025
666397,B,61,208,2025
666464,B,15,56,2025
666624,B,109,305,2025
666969,B,135,547,2025
666971,B,76,546,2025
667452,B,3,13,2025
667472,B,77,333,2025
667670,B,155,699,2025
668227,B,191,709,2025
668670,B,39,142,2025
668709,B,91,344,2025
668715,B,129,568,2025
668723,B,5,15,2025
668800,B,10,88,2025
668804,B,173,654,2025
668885,B,31,181,2025
668901,B,115,463,2025
668904,B,80,403,2025
668930,B,150,659,2025
668939,B,57,365,2025
668942,B,48,211,2025
668952,B,19,44,2025
668974,B,18,47,2025
669003,B,25,78,2025
669004,B,23,65,2025
669016,B,110,425,2025
669065,B,125,457,2025
669087,B,25,58,2025
669127,B,103,523,2025
669134,B,11,27,2025
669208,B,11,39,2025
669221,B,105,337,2025
669224,B,118,448,2025
669236,B,50,183,2025
669242,B,61,377,2025
669256,B,2,11,2025
669257,B,89,436,2025
669288,B,13,57,2025
669289,B,38,328,2025
669326,B,47,150,2025
669357,B,136,402,2025
669364,B,88,619,2025
669369,B,19,84,2025
669392,B,1,9,2025
669394,B,93,376,2025
669397,B,99,416,2025
669398,B,7,17,2025
669477,B,83,348,2025
669701,B,100,563,2025
669707,B,76,376,2025
669717,B,34,91,2025
669720,B,107,416,2025
669743,B,55,322,2025
669911,B,132,337,2025
670032,B,4,28,2025
670042,B,64,219,2025
670097,B,18,56,2025
670156,B,29,175,2025
670224,B,69,217,2025
670231,B,46,175,2025
670242,B,114,392,2025
670541,B,33,199,2025
670623,B,76,438,2025
670764,B,70,317,2025
670770,B,115,685,2025
671056,B,84,452,2025
671083,B,8,32,2025
671218,B,158,695,2025
671277,B,84,526,2025
671286,B,22,77,2025
671289,B,51,428,2025
671655,B,13,48,2025
671732,B,179,630,2025
671739,B,128,641,2025
671976,B,7,12,2025
672012,B,1,13,2025
672016,B,61,159,2025
672275,B,133,452,2025
672279,B,7,19,2025
672284,B,23,65,2025
672356,B,162,471,2025
672386,B,59,506,2025
672515,B,53,309,2025
672580,B,84,666,2025
672640,B,82,594,2025
672642,B,2,6,2025
672695,B,83,720,2025
672724,B,80,265,2025
672761,B,87,383,2025
672820,B,127,544,2025
673237,B,95,567,2025
673357,B,112,431,2025
673490,B,39,191,2025
673548,B,164,651,2025
673962,B,129,511,2025
675659,B,2,2,2025
676356,B,13,59,2025
676391,B,61,588,2025
676439,B,29,105,2025
676475,B,79,546,2025
676551,B,1,4,2025
676572,B,100,514,2025
676609,B,98,370,2025
676694,B,67,381,2025
676724,B,16,47,2025
676914,B,60,227,2025
677060,B,7,14,2025
677587,B,77,383,2025
677588,B,37,169,2025
677592,B,28,73,2025
677594,B,152,710,2025
677595,B,54,184,2025
677649,B,55,219,2025
677800,B,101,417,2025
677870,B,8,32,2025
677942,B,86,266,2025
677950,B,122,469,2025
677951,B,125,687,2025
