date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_hr,season_pa,exp_pa,f_bat,f_platoon,f_pit,f_park,f_wind,wind,p,odds_dk,odds_mgm,odds_czr,fair
2026-08-12,824241,805808,Kevin McGonigle,Detroit Tigers,Cleveland Guardians,1,Foster Griffin,656492,L,12,519,4.5,0.83,0.94,1.09,0.95,1.0,,10.6,670,600,625,+843
2026-08-12,823833,668804,Bryan Reynolds,Pittsburgh Pirates,Miami Marlins,0,Janson Junk,676083,R,15,526,4.3,0.95,0.93,1.04,0.92,1.0,,10.6,610,650,575,+843
2026-08-12,822698,608348,Carson Kelly,Chicago Cubs,Washington Nationals,0,Jackson Kent,800600,L,7,316,3.6,0.83,1.2,1.0,1.0,1.0,,10.6,640,425,525,+843
2026-08-12,824883,676724,Jared Young,New York Mets,Atlanta Braves,0,Tyler Mahle,641816,R,7,228,3.2,1.0,1.07,1.02,1.02,1.0,,10.6,610,500,525,+843
2026-08-12,824562,680574,Matt McLain,Cincinnati Reds,Chicago White Sox,0,Luis Castillo,622491,R,10,348,3.7,0.96,0.9,1.07,1.05,1.0,,10.6,650,650,575,+843
2026-08-12,823672,691723,Coby Mayo,Baltimore Orioles,Minnesota Twins,0,Zebby Matthews,805673,R,15,306,3.3,1.37,0.8,1.15,0.99,0.86,WIND 7 IN,10.4,,,,+862
2026-08-12,823017,592663,J.T. Realmuto,Philadelphia Phillies,St. Louis Cardinals,0,Kyle Leahy,681517,R,8,333,3.7,0.87,1.02,0.94,0.94,1.22,WIND 11 OUT,10.4,700,,700,+862
2026-08-12,823017,701675,Nathan Church,St. Louis Cardinals,Philadelphia Phillies,1,Zack Wheeler,554430,R,9,333,3.3,0.93,0.98,1.02,0.94,1.22,WIND 11 OUT,10.4,1100,,950,+862
2026-08-12,824562,691011,Drew Romo,Chicago White Sox,Cincinnati Reds,1,Rhett Lowder,695076,R,5,160,3.4,1.01,1.01,0.97,1.05,1.0,,10.4,800,725,700,+862
2026-08-12,825047,678662,Ezequiel Tovar,Colorado Rockies,Arizona Diamondbacks,0,Merrill Kelly,518876,R,9,404,3.7,0.82,0.99,1.16,1.01,1.0,ROOF,10.3,,,,+871
2026-08-12,824241,682657,Angel Martínez,Cleveland Guardians,Detroit Tigers,0,Framber Valdez,664285,L,12,292,3.6,1.21,0.95,0.89,0.95,1.0,,10.3,840,725,750,+871
2026-08-12,822779,668939,Adley Rutschman,Boston Red Sox,Toronto Blue Jays,0,José Soriano,667755,R,8,289,4.2,0.95,0.97,0.91,1.01,1.0,,10.3,,,,+871
2026-08-12,823017,664761,Alec Bohm,Philadelphia Phillies,St. Louis Cardinals,0,Kyle Leahy,681517,R,13,470,4.0,0.94,0.86,0.94,0.94,1.22,WIND 11 OUT,10.2,750,,750,+880
2026-08-12,824562,682622,Noelvi Marte,Cincinnati Reds,Chicago White Sox,0,Luis Castillo,622491,R,6,191,3.4,1.01,0.9,1.07,1.05,1.0,,10.2,,,,+880
2026-08-12,823672,681297,Colton Cowser,Baltimore Orioles,Minnesota Twins,0,Zebby Matthews,805673,R,9,286,3.2,1.02,1.08,1.15,0.99,0.86,WIND 7 IN,10.1,,,,+890
2026-08-12,823672,668904,Royce Lewis,Minnesota Twins,Baltimore Orioles,1,Shane Baz,669358,R,13,353,4.1,1.13,1.01,0.86,0.99,0.86,WIND 7 IN,10.1,475,,425,+890
2026-08-12,825047,672515,Gabriel Moreno,Arizona Diamondbacks,Colorado Rockies,1,Ryan Feltner,663372,R,8,381,4.1,0.8,0.87,1.19,1.01,1.0,ROOF,10.1,860,800,750,+890
2026-08-12,823916,664728,Kyle Isbel,Kansas City Royals,Los Angeles Dodgers,0,Eric Lauer,641778,L,4,209,3.3,0.81,0.98,1.19,1.1,1.0,,10.1,930,800,750,+890
2026-08-12,823994,607043,Brandon Nimmo,Texas Rangers,Los Angeles Angels,0,George Klassen,691946,R,13,482,4.2,0.92,0.9,0.97,1.02,1.0,,10.1,395,425,390,+890
2026-08-12,825047,596146,Max Kepler,Arizona Diamondbacks,Colorado Rockies,1,Ryan Feltner,663372,R,2,110,3.5,0.86,0.94,1.19,1.01,1.0,ROOF,10.0,582,600,525,+900
2026-08-12,823511,647304,Josh Naylor,Seattle Mariners,New York Yankees,0,Will Warren,701542,R,10,474,4.3,0.78,0.94,1.0,1.08,1.0,,10.0,536,400,500,+900
2026-08-12,824241,663993,Nathaniel Lowe,Cleveland Guardians,Detroit Tigers,0,Framber Valdez,664285,L,13,295,3.4,1.27,0.92,0.89,0.95,1.0,,9.9,,,,+910
2026-08-12,822779,543807,George Springer,Toronto Blue Jays,Boston Red Sox,1,Ranger Suarez,624133,L,12,386,4.3,1.01,0.89,0.86,1.01,1.0,,9.9,620,550,575,+910
2026-08-12,823994,694208,Moisés Ballesteros,Los Angeles Angels,Texas Rangers,1,Cal Quantrill,615698,R,6,205,3.2,0.98,1.03,1.02,1.02,1.0,,9.9,700,500,575,+910
