date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_h,season_pa,season_g,pa_g,n_eff,f_bat,f_pit,f_park,h_pa,p,p2,odds_dk,odds_mgm,odds_czr,odds2_dk,odds2_mgm,odds2_czr,fair,fair2,odds_dk_u
2026-09-11,823012,691023,Jordan Walker,St. Louis Cardinals,Chicago White Sox,1,Anthony Kay,641743,L,157,611,143,4.27,4.01,1.11,1.01,0.99,0.24298,67.2,25.1,-272,-250,-260,205,210,178,-205,+298,199
2026-09-11,824227,805808,Kevin McGonigle,Detroit Tigers,Colorado Rockies,1,Mason Adams,690279,R,148,635,141,4.5,4.23,1.05,1.02,0.99,0.23068,67.0,25.2,-265,-250,-250,217,200,184,-203,+297,195
2026-09-11,824631,691718,Pete Crow-Armstrong,Chicago Cubs,Pittsburgh Pirates,1,Wilber Dotel,696062,R,159,659,147,4.48,4.21,1.07,0.99,1.0,0.23074,66.9,25.0,-284,-275,-310,192,200,177,-202,+300,
2026-09-11,824711,596115,Trevor Story,Boston Red Sox,Kansas City Royals,1,Seth Lugo,607625,R,48,217,51,4.25,3.99,1.01,1.08,1.03,0.24191,66.9,24.7,-233,-235,-235,247,220,195,-202,+305,173
2026-09-11,822767,665489,Vladimir Guerrero Jr.,Toronto Blue Jays,Baltimore Orioles,1,Chris Bassitt,605135,R,129,558,132,4.23,3.98,1.04,1.07,1.0,0.24121,66.7,24.5,-266,-250,-265,212,210,181,-200,+308,195
2026-09-11,823012,676475,Alec Burleson,St. Louis Cardinals,Chicago White Sox,1,Anthony Kay,641743,L,157,618,146,4.23,3.98,1.11,1.01,0.99,0.24131,66.7,24.5,-208,-225,-218,280,240,220,-200,+308,155
2026-09-11,824954,647304,Josh Naylor,Seattle Mariners,Athletics,0,Jeffrey Springs,605488,L,142,584,137,4.26,4.0,1.07,1.04,1.0,0.24055,66.7,24.6,-285,-300,-320,193,180,179,-200,+307,
2026-09-11,823173,665487,Fernando Tatis Jr.,San Diego Padres,San Francisco Giants,0,Anthony Molina,683627,R,161,634,144,4.4,4.14,1.11,0.99,0.98,0.23263,66.6,24.7,-375,-350,-460,144,145,141,-199,+305,
2026-09-11,825036,672515,Gabriel Moreno,Arizona Diamondbacks,Texas Rangers,1,TBD,,,125,485,116,4.18,3.93,1.1,1.0,1.01,0.24268,66.5,24.2,-286,-275,-310,203,200,182,-199,+313,
2026-09-11,824227,664983,Jake McCarthy,Colorado Rockies,Detroit Tigers,0,Framber Valdez,664285,L,142,528,131,4.03,3.79,1.14,1.02,0.99,0.25018,66.4,24.0,-237,-225,-245,232,220,195,-198,+317,176
2026-09-11,823012,805367,Chase Meidroth,Chicago White Sox,St. Louis Cardinals,0,Matthew Liberatore,669461,L,138,586,140,4.19,3.94,1.05,1.07,0.99,0.24147,66.3,24.1,-238,-275,-250,225,195,184,-197,+315,176
